strategy,hours,trades,trade_rate,hit_rate,avg_gross_pnl_eur_mwh,avg_net_pnl_eur_mwh,total_net_pnl_eur_per_mw_clip,sharpe_like_per_trade,hit_rate_z_stat,net_pnl_t_stat,threshold_mw
xgboost_wind_residual_signal,8615,4429,0.514103308183401,0.5272070444795665,1.6147708286294875,1.1147708286294877,4937.3200000000015,0.027456755459061902,3.6212974800685753,1.8272671886399687,500.0
public_smard_forecast_ramp_signal,8615,8187,0.9503192106790481,0.781238548919018,19.74422132649322,19.24422132649322,157552.44,0.4899385605597095,50.89407662532209,44.33064161841809,500.0
xgboost_wind_residual_signal,8615,1923,0.22321532211259432,0.5512220488819553,3.050624024960998,2.5506240249609986,4904.85,0.062045224793404435,4.492381023409563,2.7208086804319853,1000.0
public_smard_forecast_ramp_signal,8615,7770,0.901915264074289,0.7908622908622909,20.43464478764479,19.93464478764479,154892.19,0.5221575045441402,51.27762776684497,46.02693266683328,1000.0
xgboost_wind_residual_signal,8615,771,0.08949506674405107,0.543450064850843,2.311491569390403,1.811491569390403,1396.6600000000008,0.03839685777620769,2.4129460603198236,1.0661612015748618,1500.0
public_smard_forecast_ramp_signal,8615,7400,0.8589669181659896,0.8012162162162162,21.29084324324324,20.79084324324324,153852.24,0.5462610793173289,51.82319735199463,46.99115485013436,1500.0
xgboost_wind_residual_signal,8615,346,0.04016250725478816,0.4624277456647399,-6.67815028901734,-7.17815028901734,-2483.64,-0.1313333940329286,-1.3977686594832233,-2.442942343634032,2000.0
public_smard_forecast_ramp_signal,8615,7021,0.8149738827626233,0.8081469876086028,21.880777666999002,21.380777666999002,150114.44,0.558570303050834,51.64013972448999,46.80339197755393,2000.0
xgboost_wind_residual_signal,8615,109,0.0126523505513639,0.23853211009174313,-33.93880733944954,-34.43880733944954,-3753.83,-0.5994685076207339,-5.4596098257605625,-6.258634961999642,3000.0
public_smard_forecast_ramp_signal,8615,6301,0.7313987231572838,0.8257419457229012,23.544373908903346,23.044373908903346,145202.59999999998,0.5932796327491662,51.714034597824785,47.093848147322205,3000.0
