strategy,hours,trades,trade_rate,hit_rate,avg_gross_pnl_eur_mwh,avg_net_pnl_eur_mwh,total_net_pnl_eur_per_mw_clip,sharpe_like_per_trade,hit_rate_z_stat,net_pnl_t_stat,fold,fold_start,fold_end
xgboost_wind_residual_signal,720,29,0.04027777777777778,0.2413793103448276,-4.1772413793103444,-4.677241379310345,-135.64000000000001,-0.15962033281322635,-2.7854300726557777,-0.8595817987688834,1,2025-07-06 23:00:00+00:00,2025-08-05 23:00:00+00:00
xgboost_wind_residual_signal,720,12,0.016666666666666666,0.75,11.078333333333333,10.578333333333331,126.93999999999998,0.49449171819069876,1.7320508075688774,1.7129695596566428,2,2025-08-05 23:00:00+00:00,2025-09-04 23:00:00+00:00
xgboost_wind_residual_signal,720,67,0.09305555555555556,0.4925373134328358,-5.02865671641791,-5.52865671641791,-370.41999999999996,-0.17163284166952686,-0.12216944435630557,-1.404875356304007,3,2025-09-04 23:00:00+00:00,2025-10-04 23:00:00+00:00
xgboost_wind_residual_signal,720,187,0.25972222222222224,0.43315508021390375,1.3268983957219245,0.8268983957219248,154.62999999999994,0.021139854090473833,-1.8281810603178263,0.28908315687832775,4,2025-10-04 23:00:00+00:00,2025-11-03 23:00:00+00:00
xgboost_wind_residual_signal,720,92,0.12777777777777777,0.8478260869565217,31.05315217391304,30.55315217391304,2810.89,0.7317366353655076,6.672461249826392,7.018571245297372,5,2025-11-03 23:00:00+00:00,2025-12-03 23:00:00+00:00
xgboost_wind_residual_signal,720,108,0.15,0.5555555555555556,2.5197222222222244,2.019722222222224,218.13000000000017,0.03795881719207375,1.154700538379252,0.39447959983134434,6,2025-12-03 23:00:00+00:00,2026-01-02 23:00:00+00:00
xgboost_wind_residual_signal,720,92,0.12777777777777777,0.532608695652174,-8.392608695652175,-8.892608695652175,-818.1200000000001,-0.17795963414562074,0.6255432421712249,-1.706928846625533,7,2026-01-02 23:00:00+00:00,2026-02-01 23:00:00+00:00
xgboost_wind_residual_signal,720,38,0.05277777777777778,0.5,-2.360526315789475,-2.8605263157894747,-108.70000000000005,-0.09346369995656804,0.0,-0.576148940781559,8,2026-02-01 23:00:00+00:00,2026-03-03 23:00:00+00:00
xgboost_wind_residual_signal,720,70,0.09722222222222222,0.6,4.993571428571429,4.493571428571429,314.55000000000007,0.06614360045353884,1.6733200530681507,0.553397065105171,9,2026-03-03 23:00:00+00:00,2026-04-02 23:00:00+00:00
xgboost_wind_residual_signal,720,44,0.06111111111111111,0.45454545454545453,-17.62772727272727,-18.12772727272727,-797.6199999999999,-0.34173508665290203,-0.6030226891555275,-2.2668141202545313,10,2026-04-02 23:00:00+00:00,2026-05-02 23:00:00+00:00
xgboost_wind_residual_signal,720,12,0.016666666666666666,0.4166666666666667,-11.826666666666666,-12.326666666666666,-147.92,-0.42358034375483195,-0.5773502691896256,-1.4673253529417185,11,2026-05-02 23:00:00+00:00,2026-06-01 23:00:00+00:00
xgboost_wind_residual_signal,695,20,0.02877697841726619,0.8,7.997,7.497,149.94,0.15385679896428622,2.683281572999748,0.6880685225693265,12,2026-06-01 23:00:00+00:00,2026-06-30 22:00:00+00:00
public_smard_forecast_ramp_signal,720,579,0.8041666666666667,0.7392055267702936,9.960656303972366,9.460656303972366,5477.719999999999,0.40243165683748205,11.51172714368885,9.683479077689608,1,2025-07-06 23:00:00+00:00,2025-08-05 23:00:00+00:00
public_smard_forecast_ramp_signal,720,575,0.7986111111111112,0.7843478260869565,18.024069565217392,17.524069565217392,10076.34,0.5858664016387091,13.63684267933269,14.048582787143559,2,2025-08-05 23:00:00+00:00,2025-09-04 23:00:00+00:00
public_smard_forecast_ramp_signal,720,607,0.8430555555555556,0.8138385502471169,27.425799011532124,26.925799011532128,16343.960000000001,0.6392874132811801,15.464312958819189,15.750360530645121,3,2025-09-04 23:00:00+00:00,2025-10-04 23:00:00+00:00
public_smard_forecast_ramp_signal,720,625,0.8680555555555556,0.8064,26.628079999999997,26.128079999999997,16330.05,0.6675635850633954,15.32,16.689089626584884,4,2025-10-04 23:00:00+00:00,2025-11-03 23:00:00+00:00
public_smard_forecast_ramp_signal,720,639,0.8875,0.8528951486697965,25.485539906103288,24.985539906103288,15965.76,0.6713726045456763,17.84128426151426,16.971258358528114,5,2025-11-03 23:00:00+00:00,2025-12-03 23:00:00+00:00
public_smard_forecast_ramp_signal,720,639,0.8875,0.8560250391236307,20.350172143974962,19.850172143974962,12684.26,0.7884542822759661,17.99952181594011,19.93090161527868,6,2025-12-03 23:00:00+00:00,2026-01-02 23:00:00+00:00
public_smard_forecast_ramp_signal,720,636,0.8833333333333333,0.7814465408805031,16.632877358490568,16.132877358490568,10260.51,0.508821535408647,14.195623384354779,12.831990871007115,7,2026-01-02 23:00:00+00:00,2026-02-01 23:00:00+00:00
public_smard_forecast_ramp_signal,720,666,0.925,0.7987987987987988,14.076636636636637,13.576636636636637,9042.04,0.6478223778662869,15.422186740013359,16.71833642902439,8,2026-02-01 23:00:00+00:00,2026-03-03 23:00:00+00:00
public_smard_forecast_ramp_signal,720,631,0.8763888888888889,0.8858954041204438,38.8593026941363,38.3593026941363,24204.72,1.054271681290234,19.387163887823103,26.48300245250543,9,2026-03-03 23:00:00+00:00,2026-04-02 23:00:00+00:00
public_smard_forecast_ramp_signal,720,616,0.8555555555555555,0.724025974025974,16.84457792207792,16.34457792207792,10068.259999999998,0.2941336666402109,11.120356903550247,7.300205622607371,10,2026-04-02 23:00:00+00:00,2026-05-02 23:00:00+00:00
public_smard_forecast_ramp_signal,720,626,0.8694444444444445,0.7523961661341853,12.352076677316296,11.852076677316294,7419.400000000001,0.3212878423881617,12.629900118243416,8.038619248303256,11,2026-05-02 23:00:00+00:00,2026-06-01 23:00:00+00:00
public_smard_forecast_ramp_signal,695,561,0.8071942446043165,0.8110516934046346,28.98345811051693,28.48345811051693,15979.219999999998,0.5361371194569587,14.734791549134142,12.69864280512837,12,2026-06-01 23:00:00+00:00,2026-06-30 22:00:00+00:00
