model,mae,rmse,bias,skill_vs_smard_mae_pct
persistence_prev_week,11311.501861868834,14565.57922581374,97.19879976784658,-714.1045455752521
hour_month_climatology,8695.84200968539,10898.419760402612,-742.1296691292449,-525.8518624793383
smard_forecast,1389.4409413813119,2004.1115963941472,-133.543274521184,0.0
xgboost_residual,1384.6741364702102,1968.3148531357922,-36.939573410676466,0.3430735894656111
